349 -3 6.5 0
8 -1 6.5 0
2 -16 6.5 0
349 -18 6.5 0
350 -52 6.5 0
14 0.1 6.5 0
356 -8 6.5 0
173 9 6.5 0
6 0.1 6.5 0
4 -16 6.5 0
171 1 6.5 0
163 -9 6.5 0
181 5 6.5 0
359 -11 6.5 0
180 12 6.5 0
352 -3 6.5 0
347 -25 6.5 0
0 9 6.5 0
9 -3 6.5 0
0 1 6.5 0
190 29 6.5 0
3 3 6.5 0
150 26 6.5 0
175 14 6.5 0
356 -11 6.5 0
159 29 6.5 0
3.3 11.4 -89.5 -0.8
349 21.2 -89.5 -0.8
359.7 -17.2 -89.5 -0.8
5 6.8 -89.5 -0.8
352.7 -11.2 -89.5 -0.8
338.1 13.4 -89.5 -0.8
14.1 7.4 -89.5 -0.8
354.8 9 -89.5 -0.8
358 6.6 -89.5 -0.8
182 5 36.5 -1.5
178.3 3 36.5 -1.5
190.8 10.7 36.5 -1.5
9.3 7 36.5 -1.5
171.1 -16.5 36.5 -1.5
351.5 28.1 36.5 -1.5
4.2 6.9 36.5 -1.5
11.8 -16.7 36.5 -1.5
188.7 11.4 36.5 -1.5
206.7 -0.8 36.5 -1.5
172.7 -9.9 36.5 -1.5
189.1 21.7 36.5 -1.5
353.7 3.2 36.5 -1.5
9.9 -12 36.5 -1.5
10.5 -17 36.5 -1.5
344.3 -16.2 36.5 -1.5
0.7 -6 36.5 -1.5
183.3 5.2 36.5 -1.5
10.7 18.3 36.5 -1.5
26.8 25.8 36.5 -1.5
15.4 14.9 36.5 -1.5
187 -6.6 36.5 -1.5
163 -4 36.5 -1.5
169.7 36.4 36.5 -1.5
181.2 -19.2 36.5 -1.5
154.1 -30.7 35.5 -3.2
204.4 -53.3 35.5 -3.2
202.5 -38.2 35.5 -3.2
181.8 7.4 35.5 -3.2
173.3 -33 35.5 -3.2
176.9 -23.3 35.5 -3.2
177.5 1.8 35.5 -3.2
166.3 4.6 35.5 -3.2
14 -13 9 3.5
354 -28 9 3.5
5 -3 9 3.5
10 -4 9 3.5
349 -3 9 3.5
358 15 9 3.5
348 8 9 3.5
7 -3 9 3.5
358 -5 9 3.5
4 15 9 3.5
357 -27 9 3.5
355 -2 9 3.5
359 -15 9 3.5
359 5 9 3.5
347 16 9 3.5
10 25 9 3.5
2 -5 9 3.5
4 -10 9 3.5
4 -2 9 3.5
358 9 9 3.5
352 15 9 3.5
359 -6 9 3.5
349 0 9 3.5
3 -31 9 3.5
358 -1 9 3.5
348 -32 9 3.5
11 0 9 3.5
350.6 -4.8 -32.4 -3.9
358.7 -6.8 -32.4 -3.9
352.8 -8.1 -32.4 -3.9
172.6 26.5 -32.4 -3.9
170.5 26.7 -32.4 -3.9
173.3 30.6 -32.4 -3.9
171.9 27 -32.4 -3.9
169 23.8 -32.4 -3.9
348.8 -4.9 -32.4 -3.9
356.2 -12.3 -32.4 -3.9
350.1 -3.8 -32.4 -3.9
352.3 -10.7 -32.4 -3.9
350.5 -7.9 -32.4 -3.9
349.6 -8.6 -32.4 -3.9
23 -19 150 -4
3 -6 150 -4
357 -26 150 -4
3 31 9.5 4.5
4 13 9.5 4.5
9 -7 9.5 4.5
356 -6 9.5 4.5
8 13 9.5 4.5
7 -7 9.5 4.5
340 19 9.5 4.5
8 22 9.5 4.5
12 -3 9.5 4.5
7 6 9.5 4.5
356 26 9.5 4.5
350 -4 9.5 4.5
352 2 9.5 4.5
