62.7 96.0	5.28 79.85
13.6 331.9	-13.81 11.82
32.7 126.5	-6.22 47.57
65.5 246.7	22.60 83.37
65.5 166.7	-3.37 74.84
-49.1 171.6	27.94 -72.80
-51.8 53.3	-52.51 -63.32
21.8 129.8	-3.10 29.28
32.7 269.2	0.85 62.49
65.5 73.3	20.86 79.79
2.7 167.6	8.61 -4.10
16.4 128.6	-1.68 18.81
-10.9 11.2	-7.50 -50.37
0.0 234.5	9.32 8.07
-27.3 21.5	-17.93 -65.37
46.4 31.6	5.44 63.78
79.1 150.0	-9.09 85.73
