g	1	0	-29556.8
g	1	1	-1671.8
h	1	1	5080.0
g	2	0	-2340.5
g	2	1	3047.0
h	2	1	-2594.9
g	2	2	1656.9
h	2	2	-516.7
g	3	0	1335.7
g	3	1	-2305.3
h	3	1	-200.4
g	3	2	1246.8
h	3	2	269.3
g	3	3	674.4
h	3	3	-524.5
g	4	0	919.8
g	4	1	798.2
h	4	1	281.4
g	4	2	211.5
h	4	2	-225.8
g	4	3	-379.5
h	4	3	145.7
g	4	4	100.2
h	4	4	-304.7
g	5	0	-227.6
g	5	1	354.4
h	5	1	42.7
g	5	2	208.8
h	5	2	179.8
g	5	3	-136.6
h	5	3	-123.0
g	5	4	-168.3
h	5	4	-19.5
g	5	5	-14.1
h	5	5	103.6
g	6	0	72.9
g	6	1	69.6
h	6	1	-20.2
g	6	2	76.6
h	6	2	54.7
g	6	3	-151.1
h	6	3	63.7
g	6	4	-15.0
h	6	4	-63.4
g	6	5	14.7
h	6	5	0.0
g	6	6	-86.4
h	6	6	50.3
g	7	0	79.8
g	7	1	-74.4
h	7	1	-61.4
g	7	2	-1.4
h	7	2	-22.5
g	7	3	38.6
h	7	3	6.9
g	7	4	12.3
h	7	4	25.4
g	7	5	9.4
h	7	5	10.9
g	7	6	5.5
h	7	6	-26.4
g	7	7	2.0
h	7	7	-4.8
g	8	0	24.8
g	8	1	7.7
h	8	1	11.2
g	8	2	-11.4
h	8	2	-21.0
g	8	3	-6.8
h	8	3	9.7
g	8	4	-18.0
h	8	4	-19.8
g	8	5	10.0
h	8	5	16.1
g	8	6	9.4
h	8	6	7.7
g	8	7	-11.4
h	8	7	-12.8
g	8	8	-5.0
h	8	8	-0.1
g	9	0	5.6
g	9	1	9.8
h	9	1	-20.1
g	9	2	3.6
h	9	2	12.9
g	9	3	-7.0
h	9	3	12.7
g	9	4	5.0
h	9	4	-6.7
g	9	5	-10.8
h	9	5	-8.1
g	9	6	-1.3
h	9	6	8.1
g	9	7	8.7
h	9	7	2.9
g	9	8	-6.7
h	9	8	-7.9
g	9	9	-9.2
h	9	9	5.9
g	10	0	-2.2
g	10	1	-6.3
h	10	1	2.4
g	10	2	1.6
h	10	2	0.2
g	10	3	-2.5
h	10	3	4.4
g	10	4	-0.1
h	10	4	4.7
g	10	5	3.0
h	10	5	-6.5
g	10	6	0.3
h	10	6	-1.0
g	10	7	2.1
h	10	7	-3.4
g	10	8	3.9
h	10	8	-0.9
g	10	9	-0.1
h	10	9	-2.3
g	10	10	-2.2
h	10	10	-8.0
g	11	0	2.9
g	11	1	-1.6
h	11	1	0.3
g	11	2	-1.7
h	11	2	1.4
g	11	3	1.5
h	11	3	-0.7
g	11	4	-0.2
h	11	4	-2.4
g	11	5	0.2
h	11	5	0.9
g	11	6	-0.7
h	11	6	-0.6
g	11	7	0.5
h	11	7	-2.7
g	11	8	1.8
h	11	8	-1.0
g	11	9	0.1
h	11	9	-1.5
g	11	10	1.0
h	11	10	-2.0
g	11	11	4.1
h	11	11	-1.4
g	12	0	-2.2
g	12	1	-0.3
h	12	1	-0.5
g	12	2	0.3
h	12	2	0.3
g	12	3	0.9
h	12	3	2.3
g	12	4	-0.4
h	12	4	-2.7
g	12	5	1.0
h	12	5	0.6
g	12	6	-0.4
h	12	6	0.4
g	12	7	0.5
h	12	7	0.0
g	12	8	-0.3
h	12	8	0.0
g	12	9	-0.4
h	12	9	0.3
g	12	10	0.0
h	12	10	-0.8
g	12	11	-0.4
h	12	11	-0.4
g	12	12	0.0
h	12	12	1.0
