tab 	magic_measurements
er_citation_names	measurement_number	measurement_standard	measurement_temp	magic_method_codes	er_site_name	er_location_name	measurement_orient_phi	measurement_flag	magic_experiment_name	treatment_temp	er_specimen_name	measurement_orient_theta	measurement_chi_volume	er_sample_name
This study	9	u	2.730e+02	LP-X	tr213	none	  270.0	g	tr213b2:LP-AN-MS	2.730e+02	tr213b2	   45.0	1.48400000e-03	tr213b
This study	10	u	2.730e+02	LP-X	tr213	none	   90.0	g	tr213b2:LP-AN-MS	2.730e+02	tr213b2	   45.0	1.48000000e-03	tr213b
This study	11	u	2.730e+02	LP-X	tr213	none	  180.0	g	tr213b2:LP-AN-MS	2.730e+02	tr213b2	   45.0	1.48900000e-03	tr213b
This study	12	u	2.730e+02	LP-X	tr213	none	  180.0	g	tr213b2:LP-AN-MS	2.730e+02	tr213b2	  -45.0	1.47600000e-03	tr213b
This study	13	u	2.730e+02	LP-X	tr213	none	    0.0	g	tr213b2:LP-AN-MS	2.730e+02	tr213b2	  -90.0	1.48200000e-03	tr213b
This study	14	u	2.730e+02	LP-X	tr213	none	    0.0	g	tr213b2:LP-AN-MS	2.730e+02	tr213b2	  -45.0	1.48800000e-03	tr213b
This study	15	u	2.730e+02	LP-X	tr213	none	    0.0	g	tr213b2:LP-AN-MS	2.730e+02	tr213b2	   45.0	1.47600000e-03	tr213b
This study	1	u	2.730e+02	LP-X	tr213	none	  315.0	g	tr213c1:LP-AN-MS	2.730e+02	tr213c1	    0.0	1.16000000e-03	tr213c
This study	2	u	2.730e+02	LP-X	tr213	none	  225.0	g	tr213c1:LP-AN-MS	2.730e+02	tr213c1	    0.0	1.14600000e-03	tr213c
This study	3	u	2.730e+02	LP-X	tr213	none	  180.0	g	tr213c1:LP-AN-MS	2.730e+02	tr213c1	    0.0	1.15100000e-03	tr213c
This study	4	u	2.730e+02	LP-X	tr213	none	  135.0	g	tr213c1:LP-AN-MS	2.730e+02	tr213c1	    0.0	1.15800000e-03	tr213c
This study	5	u	2.730e+02	LP-X	tr213	none	   45.0	g	tr213c1:LP-AN-MS	2.730e+02	tr213c1	    0.0	1.14800000e-03	tr213c
This study	6	u	2.730e+02	LP-X	tr213	none	   90.0	g	tr213c1:LP-AN-MS	2.730e+02	tr213c1	  -45.0	1.15600000e-03	tr213c
This study	7	u	2.730e+02	LP-X	tr213	none	  270.0	g	tr213c1:LP-AN-MS	2.730e+02	tr213c1	  -45.0	1.15400000e-03	tr213c
This study	8	u	2.730e+02	LP-X	tr213	none	  270.0	g	tr213c1:LP-AN-MS	2.730e+02	tr213c1	    0.0	1.15500000e-03	tr213c
This study	9	u	2.730e+02	LP-X	tr213	none	  270.0	g	tr213c1:LP-AN-MS	2.730e+02	tr213c1	   45.0	1.15600000e-03	tr213c
This study	10	u	2.730e+02	LP-X	tr213	none	   90.0	g	tr213c1:LP-AN-MS	2.730e+02	tr213c1	   45.0	1.15400000e-03	tr213c
This study	11	u	2.730e+02	LP-X	tr213	none	  180.0	g	tr213c1:LP-AN-MS	2.730e+02	tr213c1	   45.0	1.16000000e-03	tr213c
This study	12	u	2.730e+02	LP-X	tr213	none	  180.0	g	tr213c1:LP-AN-MS	2.730e+02	tr213c1	  -45.0	1.14900000e-03	tr213c
This study	13	u	2.730e+02	LP-X	tr213	none	    0.0	g	tr213c1:LP-AN-MS	2.730e+02	tr213c1	  -90.0	1.15500000e-03	tr213c
