0	86.7	178.7
5	86.3	172
10	85	155.7
15	84.2	154.9
20	81.4	149.7
25	83.8	153.2
30	81.6	183.4
35	81.2	173.4
40	78.8	160.2
45	81.1	150.4
50	81.3	151.9
55	81.4	168.3
60	80.5	188.9
65	79.8	209.5
70	80	213.2
75	45.8	81.3
80	81	232.5
85	81.1	230.5
90	80.8	185.8
95	81.8	183.4
100	85.1	144.5
105	81.2	173.5
110	82.1	203.8
115	799.7	186.2
120	766.5	193.5
125	75.7	192.4
130	77.4	195.2
135	76.8	190
140	72.6	203.1
145	68.7	201.9
150	73.2	134.3   
155	74.3	137.4
160	71.9	149.7
165	70.6	149.5
170	70.1	129.9
175	66	96.4
180	66	91.7
185	63.7	87.7
190	65.9	102.5
195	65.8	105.8
200	59.4	103.5
