-64.1		46.1	90
-61.8		79.5	111
-60		82	124
-47.6		89.9	129
-48.3		86.6	132
-61.9		71.9	171
-71.6		93.5	180
-70.5		88.7	180
-70.7		106.7	186
-57		84	193
-65.4		75.1	193
-68		50.5	221
-54		80	248
-26.9		85.1	254
-46		40	257
-27.6		89.8	257
-26.5		26.5	281
10		15	398
25		343	446
28		14	482
27.5		344.8	522
-28.4		319.1	547
