0	86.5	180.7
5	86.1	174.8
10	84.6	164.4
15	83.6	163
20	81	156.2
25	82.8	165.7
30	79.6	187.9
35	79.3	180.4
40	77.2	168
45	78.7	169.9
50	78	171.9
55	76.1	180.9
60	73.8	189.3
65	72.6	200.1
70	72.5	202.3
75	46.8	73.7
80	72.5	216
85	72.1	216.1
90	71.9	195.5
95	73	195.8
100	78.1	190.4
105	73	191.3
110	72.5	206.1
115	70.9	195.5
120	67.4	197.2
125	66.7	196.1
130	68.2	198.7
135	67.9	195.3
140	63.2	201.6
145	59.4	199.8
150	226.9	155.2
155	70.9	159.1
160	67.2	164.8
165	65.9	163.2
170	68.4	147.4
175	70.3	110.4
180	71.1	105.2
185	69.6	97.9
190	69.2	116.8
195	68.6	120.2
200	63	111.9
