tab	pmag_results
vgp_lat	vgp_lon	average_age	vgp_alpha95
47.4844494196	261.866601707	130	2.2
67.8879585865	192.485078956	215	5.8
51.4112123835	249.363678994	145	3.9
51.1662580289	232.558633548	149	4.2
55.450888973	227.561880327	151	6.3
60.0174617772	216.967164492	172	6.2
66.6628912412	215.633654735	179	1.4
73.0711809752	196.723373658	195	2.3
77.5712962859	181.085641746	194	6.3
78.0935898567	158.781625684	203	8
