34 34.75 saf 155
37.2 355.9 ib 155
37.5 356.7 ib 155
46 12 saf 155
43.5 12.5 saf 155
43.5 12.75 saf 155
46 12 saf 155
38 -108 nam 155
38 -108 nam 155
-26.4 -70.5 sac 155
-26 -70.5 sac 155
-26 -70.5 sac 155
31.5 -111 nam 155
