tab	pmag_results
vgp_lat	vgp_lon	average_age	vgp_alpha95
46.4138886626	261.890868353	100	10
48.4198752232	262.394472897	110	6
47.1057942797	263.426586677	120	19
49.8194856184	254.147198768	130	19
49.66113334	248.415277624	140	16
56.6009099629	236.469901442	150	17
62.7374198343	234.221663897	160	19
70.1899452272	237.475255888	170	11
71.9794165827	226.973716505	180	8
70.6876343839	211.790506574	190	4
69.5973439256	203.456384005	200	4
