ROCKUNIT	RLAT	RLONG	COMPONENT	LOMAGAGE	HIMAGAGE	DEC	INC	N	KD	ED95	PLAT	PLONG	DP	DM	AUTHORS	YEAR
Kulnura Sill	-34	151		50	80	32	-62	8	352	2,9	63	271	3,5	4,5	Robertson,W.A.	1979
Barrington Top Volcano, Section 1	-31,9	151,3		52	55	189,5	63,6	64		4,3	74,2	306,4	5,9	5,9	Hill, M.J., Gratton, M.N., Shaw, J.	2002
Barrington Top Volcano, Section 2	-31,9	151,3		52	55	178,5	72,1	7		6,6	64,7	333,2	10,3	11,7	Hill, M.J., Gratton, M.N., Shaw, J.	2002
Barrington Volcano	-32	151,4		52	54	193	65,5	66	48,5	3,6	70,5	305,6	5,3	5,3	Wellman,P., McElhinny,M.W., McDougall,I.	1969
Mogo Hill Basalt	-33,2	151,1	Combined Result	56	59	241	80,7	44	120,9	4,7	40,6	310,2	8,6	8,6	Schmidt,P.W., Embleton,B.J.J.	1981
Mogo Hill Intrusion	-33,2	151,1		56	59	249	84	12	41	6,8	37	318	13,2	13,4	Robertson,W.A.	1979
North Rankin 1 Drillcore	-19,6	116,1		58	62	358,4	-66,2	20		5,9	61,7	298,4	3,3	8	Idnurm,M.	1985
Hornsby Breccia	-33,7	151,1		60	100	29	-62	6	191	4,8	66	272	5,8	7,4	Robertson,W.A.	1979
St.Mary's Breccia	-34	151		65	100	14	-81	21	960	3,3	51	324	6,1	6,4	Robertson,W.A.	1979
Bauine Granodiorite	-7,2	146,7		65	100	213	-6	11	2		55	220			Manwaring,E.A.	1974
Marsden Park Breccia pipe	-33,7	150,8		80	100	43,6	-78	36	228,6	3,4	48,1	307,2	6,2	6,2	Schmidt,P.W.	1982
St.Mary's Breccia pipe	-33,8	150,8		80	100	2,3	-83,9	24	600	3,9	45,9	330,1	7,6	7,6	Schmidt,P.W.	1982
Gingenbullen Dolerite	-34,5	150,3	Low Temp.	80	100	21	-79	41	63	8	54	317	12,4	12,9	Thomas,D.N., Biggin,A.J., Schmidt,P.W.	2000
Dundas Breccia pipe	-33,8	151,1	Low temp.	80	100	345,7	-76,7	11	40,8	19,5	57,7	342,1	35,6	35,6	Schmidt,P.W.	1982
Luddenham dyke	-33,8	150,7	Overprint Comp.	80	100	313	-85	6		5	40	340	10	10	Embleton,B.J.J., Schmidt,P.W., Hamilton,L.H., Riley,G.H.	1985
North Bondi Volcanic Neck	-33,9	151,3	Overprint Comp.	80	100	10	-79	6		5	55	325	10	10	Embleton,B.J.J., Schmidt,P.W., Hamilton,L.H., Riley,G.H.	1985
Hornsby Breccia	-33,7	151,1	B component	80	100	13	-75,5	71	300,8	2,3	59,1	319,4	4,2	4,2	Schmidt,P.W., Embleton,B.J.J.	1981
Bunbury Basalt	-33,4	115,6		90	105	309,7	-69,1	54	142	6,4	49	341	10	10	Schmidt,P.W.	1976
Mt. Dromedary Intrusive Complex	-36,3	150		90	100	19	-79	55	47	5	56	318	9	9	Robertson,W.A.	1963
Prospect dolerite	-33,8	150,9	Low temp.	90	110	9,7	-74,5	59	35,3	8,2	60,7	322,4	13,4	13,4	Schmidt,P.W.	1982
Erskine Park Sill	-34	151		100	160	184	-84	12	81	4,8	23	331	9,3	9,4	Robertson,W.A.	1979
Cygnet Alkaline Complex	-43,2	147,1		100	110	314	-85	45	776	5	50	338	10	10	Robertson,W.A., Hastie,L.	1962
Otway Group	-38,4	144,2		110	115	344,5	-84,2	25	359,9	1,8	48,9	328,7	3,6	3,6	Idnurm,M.	1985
Dundas Breccia pipe	-33,8	151,1	High temp.	130	150	97,7	69,5	10	181,8	9,1	30,7	14,8	15,7	15,7	Schmidt,P.W.	1982
Hornsby Breccia	-33,7	151,1	A component	130	161	72	83	31	267,4	3,8	28,7	345,8	7	7	Schmidt,P.W., Embleton,B.J.J.	1981
Noosa Heads Intrusions	-26,4	153,1		140	145	51	-79	10	48	13	36	312	24	25	Robertson,W.A.	1963
North Bondi Volcanic Neck	-33,9	151,3	High Temp.	148	154	325	-74	6		4	55	0	7	7	Embleton,B.J.J., Schmidt,P.W., Hamilton,L.H., Riley,G.H.	1985
Bendigo Dykes	-37	144,3		149	158	37,6	-82,9	26	19,1	21,6	47	315	39	39	Schmidt,P.W.	1976
Luddenham dyke	-33,8	150,7		150	195	291	-77	6		2	39	1	4	4	Embleton,B.J.J., Schmidt,P.W., Hamilton,L.H., Riley,G.H.	1985
Luddenham dyke	-33,9	150,7		160	185	314	-79	7	30	12	47	353	23	23	Manwaring,E.A.	1963
Prospect dolerite	-33,8	150,9	High temp.	163	173	322,1	-74,9	59	169,8	3,7	53	359,6	6,4	6,4	Schmidt,P.W.	1982
Tasmanian Dolerite	-42	147		166	182	331,8	-83,9	69	48		52	336,3	6,6	6,6	Schmidt,P.W.	1976
Tasmanian Dolerite	-42	147,5	Easterly Group	166	182	62,8	-81	24	65,9	5,4	47,7	303,5	9,5	9,5	Schmidt,P.W., McDougall,I.	1977
Kangaroo Island Basalt	-35,6	137,5		166	178	288,9	-67,3	20	55,7		39	3	11	11	Schmidt,P.W.	1976
Tasmanian Dolerite	-42	147,5	Westerly Group	166	182	303,6	-79,2	42	120,5	2,9	50,7	354,5	5,2	5,2	Schmidt,P.W., McDougall,I.	1977
Prospect Dolerite	-33,8	150,8		167	177	359	-81	10	28	7	51	331	13	13	Boesen,R., Irving,E., Robertson,W.A.	1961
Gingenbullen Dolerite	-34,5	150,3	High Temp.	167	177	175,3	80,8	41	32,8	10,7	52,4	332,7	17,3	18	Thomas,D.N., Biggin,A.J., Schmidt,P.W.	2000
Sydney Basin Dykes	-34	151		170	190	319,9	-75,8	29	999,9	2,7	52,3	358,3	5,1	5,1	Robertson,W.A.	1979
Gingenbullen Dolerite	-34,4	150,3		171	181	191	80	8	23	8	53	324	15	15	Boesen,R., Irving,E., Robertson,W.A.	1961
