-85.7	75.8	11.5
-86.5	6.6	12
-80.1	214.2	13.5
-84.6	343.3	17
-64.1	46.1	90.5
-61.8	79.5	111
-60	82	124.5
-47.6	89.9	129
-48.3	86.6	132
-61.9	71.9	171
-71.6	93.5	180
-70.5	88.7	180
-64	80.6	180,
-57	84	180,
-65.4	75.1	l8O
-70.7	106.7	186
-68	50.5	221.5
-54	80	248.5
-26.9	85.1	254
-27.6	89.8	257
-46	40	257
-26.5	26.5	281.5
-25	67	315

