0	86.5	180.7
5	86.1	174.8
10	84.6	164.4
15	83.6	163
20	81	156.2
25	82.8	165.7
30	79.6	187.9
35	79.3	180.4
40	77.3	167.7
45	79.6	167.9
50	79.3	170.3
55	77.9	183.4
60	75.4	195.5
65	73.5	207.3
70	73.4	209.7
75	75.7	197.6
80	73.5	221.4
85	73.5	220.5
90	75.3	196.4
95	76.4	197.7
100	81.7	198.3
105	76.8	191.5
110	75.4	208.8
115	74.7	194.6
120	71.2	194.2
125	70.5	192.5
130	71.9	196.5
135	71.8	192.3
140	66.7	197.2
145	63.1	193.9
150	227.2	75.7
155	76.2	146.8
160	72.4	154.1
165	71.2	151.9
170	73.5	131.5
175	73.4	84.5
180	73.8	77.9
185	71.7	71.2
190	72.8	92.8
195	72.5	97.2
200	66.4	90.5
