tab	pmag_results
vgp_lat	vgp_lon	average_age	vgp_alpha95
42.1532128198	277.187542067	100	10
44.1511010616	277.715847814	110	6
42.8227075347	278.633731118	120	19
45.7118792424	270.155248713	130	19
45.712576024	264.845742196	140	16
53.0817965481	254.527812887	150	17
59.2930763153	253.455176362	160	19
66.5690792335	258.023634107	170	11
68.7997518157	249.779473463	180	8
68.3537576813	236.07956484	190	4
67.8122678924	228.084752567	200	4
