tab	pmag_results
average_age	vgp_lat	vgp_lon
11.5	85.7	-104.2
12	86.5	-173.4
13.5	80.1	34.2
17	84.6	163.3
90.5	64.1	-133.9
111	61.8	-100.5
124.5	60	-98
129	47.6	-90.1
132	48.3	-93.4
171	61.9	-108.1
180	71.6	-86.5
180	70.5	-91.3
180	64	-99.4
180	57	-96
l8O	65.4	-104.9
186	70.7	-73.3
221.5	68	-129.5
248.5	54	-100
254	26.9	-94.9
257	27.6	-90.2
257	46	-140
281.5	26.5	-153.5
315	25	-113
