0	86.8	176.3
5	86.5	168
10	85.5	139.9
15	84.8	136.7
20	82.1	131.8
25	84.4	126.1
30	83.5	163.8
35	82.9	152.1
40	80	139.5
45	82	126.5
50	82.2	127.7
55	82.7	145.3
60	82.4	168.5
65	82	193.7
70	82.3	199
75	83.6	170.6
80	82.3	228.4
85	82.5	229.5
90	84.8	175.8
95	86.2	178.5
100	87.8	29.2
105	88	179.8
110	85.1	264.2
115	886.4	261.2
120	883.9	238.5
125	83.4	233
130	82.6	252.6
135	83.2	246.5
140	777.5	238.2
145	74.77	227.2
150	85.8	61.6
155	87.3	39.6
160	88.2	189.6
165	86.6	228.5
170	88.9	41.9
175	79.7	32.2
180	78.4	26.6
185	75.9	32.6
190	82.5	37
195	83.7	41.6
200	78.8	70.6
