0.071	0.297
0.078	0.289
-0.495	0.572
0.111	0.907
-0.212	0.589
-0.234	0.547
-0.019	0.517
-0.067	0.458
-0.045	0.492
-0.011	0.475
0.045	0.479
-0.059	0.250
0.074	0.288
0.252	0.602
0.199	0.462
-0.217	0.419
-0.243	0.339
-0.594	0.271
-0.457	0.318
-0.419	0.343
-0.342	0.733
-0.312	0.729
-0.248	0.771
-0.201	0.254
-0.274	0.572
-0.333	0.242
-0.291	0.364
0.077	0.292
0.060	0.225
-0.034	0.547
0.076	0.288
0.038	0.326
0.038	0.386
-0.055	0.394
-0.089	0.487
-0.004	0.508
0.076	0.288
0.038	0.326
0.038	0.386
-0.055	0.394
-0.089	0.487
-0.004	0.508
-0.036	0.455
-0.057	0.442
