CODE	Dec	Inc	a95	GLat	GLon	Plat	Plon	Dp	Dm	Age
Noosa Heads Intrusions	51	-79	13	-26,4	153,1	36	312	24	25	142.5
Hornsby Breccia	72	83	3,8	-33,7	151,1	28,7	345,8	7	7	145.5
North Bondi Volcanic Neck	325	-74	4	-33,9	151,3	55	0	7	7	151
Bendigo Dykes	37,6	-82,9	21,6	-37	144,3	47	315	39	39	153.5
Prospect dolerite	322,1	-74,9	3,7	-33,8	150,9	53	359,6	6,4	6,4	168
Kangaroo Island Basalt	288,9	-67,3		-35,6	137,5	39	3	11	11	172
Gingenbullen Dolerite	175,3	80,8	10,7	-34,5	150,3	52,4	332,7	17,3	18	172
Prospect Dolerite	359	-81	7	-33,8	150,8	51	331	13	13	172
Luddenham dyke	291	-77	2	-33,8	150,7	39	1	4	4	172.5
Luddenham dyke	314	-79	12	-33,9	150,7	47	353	23	23	172.5
Tasmanian dolerites	325	-85	3,5	-42	147	50	337	7	7	174
Tasmanian Dolerite	331,8	-83,9		-42	147	52	336,3	6,6	6,6	174
Tasmanian Dolerite	62,8	-81	5,4	-42	147,5	47,7	303,5	9,5	9,5	174
Tasmanian Dolerite	303,6	-79,2	2,9	-42	147,5	50,7	354,5	5,2	5,2	174
Tasmanian dolerite	319	-84	3	-42	147	51	340	6	6	174
Red Hill Dyke	294	-75	7	-43	148	47	6	12	13	174
Gingenbullen Dolerite	191	80	8	-34,4	150,3	53	324	15	15	176
Gibralter Microsyenite	167,6	79,5	25,1	-34,5	150,4	54,2	337,7	30	31	178
Jurassic Intrusives	314,2	-72,4	6,8	-33,7	150,4	51	6,1	10,9	10,9	178.5
Sydney Basin Dykes	319,9	-75,8	2,7	-34	151	52,3	358,3	5,1	5,1	180
Glenrowan Intrusives	304,8	-66,4		-31,1	149,9	45,2	20			181
Gibralter Syenite	27	-86	12	-33,8	150,8	41	326	24	24	182
Western Victoria Basalt Belt	300,9	-75,3	11,1	-37,3	141,4	47	358	18	18	194
Garrawilla Volcanics and Moonbi Extrusives	315,9	-76,7		-31	150	46,1	355,2	10	10	197
Kiama Dykes	331,9	-77,1	7,6	-34,6	150,8	55	350,6	14	14	200
Werrikimbe Volcanics	100,8	75,1	14,9	-31,3	152,3	31,6	5,3	26,6	26,6	214
Brown Clays	98,4	75,3		-32,5	138,5	32,3	349,9	23,8	23,8	214
Brisbane Tuff	35	-83		-27,5	153,5	39	323			214
Knapp Head Dyke	290	-71,8	5	-35,1	117,5	39,4	339,1	7,7	8,8	225.5
