tab	pmag_results
vgp_lat	vgp_lon	average_age	vgp_alpha95
43.2238745012	277.197928531	130	2.2
66.8967249511	217.09840757	215	5.8
47.4318468626	265.843278787	145	3.9
47.8399856348	250.261674287	149	4.2
52.3573315096	246.179897996	151	6.3
57.4890768552	237.228749556	172	6.2
64.1543827974	237.841737293	179	1.4
71.6620939907	224.143558644	195	2.3
77.0884190452	214.85821948	194	6.3
79.2533318938	194.313688919	203	8
