tab 	pmag_results
vgp_lon	vgp_lat
337.7	79.4
339.3	84.4
3.8	80.7
306.4	82.8
311.0	83.1
205.5	85.8
313.7	82.1
170.7	78.9
161.2	87.5
158.2	86.5
250.6	86.7
146.8	85.5
207.0	84.0
200.1	83.3
225.3	85.0
321.3	83.4
341.2	82.3
286.2	86.4
228.0	81.2
196.2	85.1
226.2	81.9
147.4	84.5
230.8	87.3
177.8	83.9
219.9	81.4
