tab	pmag_results
average_age	vgp_lat	vgp_lon
0	87.6	133.6
10	87.2	125
20	85	137.4
30	82.7	152.5
40	82.3	150.5
50	79.1	154.2
60	79	166.8
70	80.3	-178.2
80	79.6	170
90	80.3	169.1
100	81	166.2
110	80.7	-168.6
120	78.4	-163.5
130	75.2	-166.4
140	70.4	176.7
150	67.7	148.2
160	68.2	136.2
170	69.9	126.1
180	68.8	116.7
190	63.4	98.4
200	59.2	102.3
