tab	pmag_results
average_age	vgp_lat	vgp_lon
0	87.6	142.4
10	87.2	138.4
20	84.6	151.2
30	81.6	163.6
40	80.9	165.2
50	77.1	169.8
60	75.1	-175.9
70	74.3	-162.9
80	75.4	-174.3
90	76.4	-174.2
100	77.3	-173.8
110	75	-160.6
120	72.6	-161.4
130	70	-167.3
140	67.4	175.1
150	68.7	147.2
160	70.9	135.6
170	73.9	126.8
180	74.2	114.2
190	70.9	85.5
200	65.9	86.8
