1.155	3.71
3.481	3.88
5.814	4.161
7.910	4.359
10.46	4.418
13.23	4.338
15.77	4.118
18.53	3.898
21.07	3.706
23.84	3.57
26.14	3.378
28.21	3.101
31.65	2.548
35.78	2.023
40.16	1.666
43.16	1.475
48.48	1.342
54.26	1.237
60.04	1.133
65.36	0.9998
70.90	0.7835
76.45	0.5672
85.23	0.3549
91.02	0.2783
99.58	0.1772
115.1	0.2240
120.9	0.3426
126.7	1.103
129.1	1.691
131.4	2.419
133.6	3.035
135.9	3.288
138.4	3.152
140.0	2.792
141.9	2.543
144.4	2.323
146.7	2.409
148.8	3.025
150.5	3.669
152.4	4.368
154.3	4.677
155.9	4.456
156.8	4.122
157.9	3.761
159.1	3.484
