   1920.00      9.71  25985.06   7087.86  44280.71  26934.39  51828.97
   1921.00      9.70  25954.93   7079.29  44239.85  26903.06  51777.79
   1922.00      9.69  25924.68   7068.26  44201.27  26870.98  51728.16
   1923.00      9.68  25893.09   7055.13  44160.69  26837.05  51675.85
   1924.00      9.67  25859.64   7039.94  44116.36  26800.78  51619.14
   1925.00      9.66  25824.36   7022.40  44069.01  26762.13  51558.60
   1926.00      9.64  25787.43   7002.90  44019.51  26721.38  51495.14
   1927.00      9.63  25749.23   6984.58  43969.04  26679.71  51430.37
   1928.00      9.62  25710.22   6971.18  43918.94  26638.55  51366.19
   1929.00      9.61  25671.04   6963.92  43870.66  26598.84  51304.32
   1930.00      9.60  25632.45   6961.53  43825.99  26560.97  51246.49
   1931.00      9.59  25595.22   6962.42  43785.93  26525.29  51193.73
   1932.00      9.58  25560.29   6964.22  43748.85  26492.05  51144.80
   1933.00      9.57  25528.51   6964.39  43712.59  26461.43  51097.93
   1934.00      9.56  25499.57   6961.38  43675.86  26432.73  51051.64
   1935.00      9.55  25471.86   6954.59  43638.48  26404.20  51004.89
   1936.00      9.54  25444.16   6943.92  43600.61  26374.67  50957.20
   1937.00      9.53  25417.15   6930.94  43563.85  26345.20  50910.49
   1938.00      9.53  25391.89   6917.67  43529.94  26317.34  50867.06
   1939.00      9.52  25369.25   6905.00  43499.44  26292.16  50827.93
   1940.00      9.51  25349.79   6892.73  43471.66  26270.17  50792.78
   1941.00      9.51  25333.82   6880.54  43445.56  26251.56  50760.82
   1942.00      9.50  25320.95   6867.86  43419.52  26235.81  50730.39
   1943.00      9.49  25310.50   6853.99  43391.45  26222.10  50699.28
   1944.00      9.49  25301.78   6838.04  43359.96  26209.52  50665.82
   1945.00      9.48  25294.06   6818.81  43324.09  26197.05  50628.68
   1946.00      9.47  25286.67   6795.60  43283.64  26183.88  50587.25
   1947.00      9.47  25278.90   6769.68  43241.86  26169.66  50544.14
   1948.00      9.46  25270.13   6742.79  43202.63  26154.25  50502.59
   1949.00      9.45  25260.78   6716.51  43166.37  26138.45  50463.39
   1950.00      9.44  25252.45   6692.27  43130.16  26124.17  50425.02
   1951.00      9.44  25246.26   6671.23  43091.86  26112.81  50386.38
