tab 	magic_measurements
measurement_temp	er_citation_names	magic_software_packages	measurement_number	measurement_standard	er_site_name	er_sample_name	treatment_temp	magic_instrument_codes	er_location_name	measurement_magn_moment	measurement_flag	magic_experiment_name	measurement_lab_field_dc	er_specimen_name	treatment_dc_field	magic_method_codes	er_scientist_mail_names
273	This study	pmagpy-1.51b	34	u		TC04-15-03	273	SIO-Maud	unknown	8.031e-07	g	TC04-15-03F:LP-HYS	3.690e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	35	u		TC04-15-03	273	SIO-Maud	unknown	8.026e-07	g	TC04-15-03F:LP-HYS	3.650e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	36	u		TC04-15-03	273	SIO-Maud	unknown	8.025e-07	g	TC04-15-03F:LP-HYS	3.610e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	37	u		TC04-15-03	273	SIO-Maud	unknown	8.021e-07	g	TC04-15-03F:LP-HYS	3.569e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	38	u		TC04-15-03	273	SIO-Maud	unknown	8.018e-07	g	TC04-15-03F:LP-HYS	3.530e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	39	u		TC04-15-03	273	SIO-Maud	unknown	8.016e-07	g	TC04-15-03F:LP-HYS	3.489e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	40	u		TC04-15-03	273	SIO-Maud	unknown	8.013e-07	g	TC04-15-03F:LP-HYS	3.449e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	41	u		TC04-15-03	273	SIO-Maud	unknown	8.009e-07	g	TC04-15-03F:LP-HYS	3.409e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	42	u		TC04-15-03	273	SIO-Maud	unknown	8.006e-07	g	TC04-15-03F:LP-HYS	3.369e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	43	u		TC04-15-03	273	SIO-Maud	unknown	8.002e-07	g	TC04-15-03F:LP-HYS	3.330e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	44	u		TC04-15-03	273	SIO-Maud	unknown	7.999e-07	g	TC04-15-03F:LP-HYS	3.289e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	45	u		TC04-15-03	273	SIO-Maud	unknown	7.993e-07	g	TC04-15-03F:LP-HYS	3.249e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	46	u		TC04-15-03	273	SIO-Maud	unknown	7.990e-07	g	TC04-15-03F:LP-HYS	3.210e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	47	u		TC04-15-03	273	SIO-Maud	unknown	7.985e-07	g	TC04-15-03F:LP-HYS	3.170e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	48	u		TC04-15-03	273	SIO-Maud	unknown	7.981e-07	g	TC04-15-03F:LP-HYS	3.130e-01	TC04-15-03F		LP-HYS	
