500 0.72 1.04E+00
501 0.45 3.78E-01
503 0.43 3.61E-01
524 0.37 3.51E-01
515 0.43 4.19E-01
518 0.44 4.53E-01
521 0.44 4.74E-01
525 0.54 5.25E-01
527 0.56 5.49E-01
528 0.53 6.11E-01
529 0.5 5.75E-01
531 0.56 6.44E-01
532 0.54 6.26E-01
534 0.59 6.14E-01
537 0.55 6.36E-01
540 0.52 6.04E-01
542 0.54 5.94E-01
547 0.64 5.85E-01
547 0.56 5.85E-01
549 0.58 4.90E-01
551 0.53 4.56E-01
804 0.46 5.06E-01
810 0.46 4.65E-01
816 0.44 5.19E-01
826 0.33 3.46E-01
830 0.27 2.15E-01
836 0.36 2.60E-01
838 0.4 3.54E-01
840 0.53 5.69E-01
842 0.57 7.13E-01
823 0.58 7.69E-01
828 0.65 1.05E+00
831 0.73 1.16E+00
833 0.64 9.25E-01
841 0.66 9.99E-01
841 0.68 9.99E-01
845 0.77 1.16E+00
846 0.76 1.38E+00
847 0.79 1.41E+00
849 0.77 1.21E+00
857 0.76 1.35E+00
861 0.78 1.34E+00
850 0.73 1.00E+00
854 0.66 8.19E-01
860 0.54 5.48E-01
865 0.38 1.03E+00
869 0.78 1.25E+00
873 0.78 1.18E+00
877 0.71 1.29E+00
881 0.64 5.51E-01
887 0.43 3.50E-01
868 0.73 9.13E-01
872 0.61 7.38E-01
880 0.53 5.34E-01
882 0.5 4.74E-01
884 0.69 9.12E-01
888 0.83 9.00E-01
890 0.73 8.63E-01
893 0.86 1.38E+00
899 0.84 1.08E+00
905 0.76 1.63E+00
910 0.82 1.61E+00
912 0.59 6.98E-01
913 0.62 1.00E+00
915 0.8 1.29E+00
919 0.66 6.73E-01
921 0.56 4.11E-01
925 0.38 4.20E-01
929 0.45 2.59E-01
935 0.4 4.59E-01
939 0.22 3.00E-01
939 0.34 3.00E-01
942 0.27 1.81E-01
951 0.3 1.50E-01
952 0.32 3.05E-01
956 0.55 6.90E-01
962 0.27 1.69E-01
968 0.71 7.13E-01
963 0.86 1.16E+00
965 0.62 7.63E-01
969 0.66 8.50E-01
971 0.41 3.39E-01
975 0.59 7.13E-01
979 0.6 8.75E-01
983 0.61 1.20E+00
986 0.47 5.62E-01
988 0.53 1.00E+00
974 0.58 7.13E-01
976 0.51 6.25E-01
982 0.38 8.63E-01
990 0.23 1.75E-01
