Sample Box No.	Depth (meters)	MS vol-SI (low freq.)	FD of MS %	NRM A/m	ARM A/m	IRM 1.2T A/m	IRM -0.3T A/m	HIRM A/m	S	Comments
547	7.92	1.83E-04	5.08	1.99E-03	1.16E-01	2.98E+00	-1.81E+00	5.85E-01	0.61	Disturbed
548	7.97	1.88E-04	4.6	3.03E-03	1.03E-01	2.72E+00	-1.62E+00	5.48E-01	0.6	Disturbed
549	8.01	1.89E-04	3.67	1.69E-03	9.63E-02	2.34E+00	-1.36E+00	4.90E-01	0.58	Disturbed
550	8.07	1.79E-04	3.7	2.45E-03	9.50E-02	2.32E+00	-1.34E+00	4.88E-01	0.58	Disturbed
551	8.13	1.41E-04	3.28	5.03E-03	9.03E-02	2.19E+00	-1.28E+00	4.56E-01	0.58	Disturbed
Slug 10/B										
800	8.2	9.76E-05	3.95	4.69E-03	9.03E-02	2.15E+00	-1.28E+00	4.34E-01	0.6	
802	8.25	1.01E-04	5.07	1.17E-03	5.38E-02	2.19E+00	-1.21E+00	4.93E-01	0.55	
804	8.29	1.04E-04	5.82	1.58E-03	5.48E-02	2.30E+00	-1.28E+00	5.06E-01	0.56	
806	8.34	9.39E-05	3.4	1.61E-03	5.08E-02	2.09E+00	-1.16E+00	4.68E-01	0.55	
808	8.39	9.76E-05	4.77	1.41E-03	5.33E-02	2.20E+00	-1.23E+00	4.85E-01	0.56	
810	8.45	1.01E-04	4.7	2.66E-03	9.31E-02	2.25E+00	-1.32E+00	4.65E-01	0.59	
812	8.49	1.03E-04	4.44	2.24E-03	5.70E-02	2.35E+00	-1.29E+00	5.29E-01	0.55	
814	8.54	1.04E-04	4.47	2.51E-03	5.88E-02	2.45E+00	-1.36E+00	5.46E-01	0.55	
816	8.59	1.01E-04	4.79	2.25E-03	5.55E-02	2.32E+00	-1.28E+00	5.19E-01	0.55	
818	8.64	1.03E-04	4.32	1.63E-03	5.70E-02	2.39E+00	-1.34E+00	5.25E-01	0.56	
820	8.69	1.11E-04	3.46	2.40E-03	5.88E-02	2.55E+00	-1.45E+00	5.51E-01	0.57	
821	8.74	1.05E-04	4.17	2.01E-03	5.50E-02	2.37E+00	-1.37E+00	4.99E-01	0.58	
811	8.8	1.01E-04	3.46	2.53E-03	5.85E-02	2.32E+00	-1.29E+00	5.15E-01	0.56	
813	8.86	1.01E-04	5.48	1.78E-03	5.58E-02	2.29E+00	-1.30E+00	4.94E-01	0.57	
815	8.91	1.06E-04	2.43	2.13E-03	9.91E-02	2.36E+00	-1.44E+00	4.63E-01	0.61	
817	8.96	9.53E-05	4.83	1.45E-03	5.38E-02	2.11E+00	-1.20E+00	4.56E-01	0.57	
819	9.01	1.06E-04	5.36	1.58E-03	5.50E-02	2.25E+00	-1.37E+00	4.41E-01	0.61	
809	9.09	9.89E-05	6.2	1.84E-03	4.96E-02	2.05E+00	-1.23E+00	4.09E-01	0.6	
807	9.16	1.11E-04	4.85	1.88E-03	5.58E-02	2.34E+00	-1.40E+00	4.73E-01	0.6	
805	9.21	1.02E-04	4.23	2.61E-03	5.23E-02	2.21E+00	-1.31E+00	4.51E-01	0.59	
803	9.27	9.52E-05	7.83	1.00E-03	4.95E-02	2.12E+00	-1.23E+00	4.43E-01	0.58	
801	9.37	9.67E-05	4.1	2.41E-03	5.03E-02	2.07E+00	-1.23E+00	4.23E-01	0.59	
Slug 11/A										
822	9.47	6.23E-05	-4.69	2.88E-03	2.75E-02	1.27E+00	-7.98E-01	2.34E-01	0.63	
824	9.52	8.23E-05	-2.16							Tephra (Loleta)
826	9.57	8.01E-05	1.35	2.48E-03	4.12E-02	1.75E+00	-1.06E+00	3.46E-01	0.6
827	9.66	8.67E-05	-0.97	2.34E-03	4.04E-02	1.90E+00	-1.20E+00	3.50E-01	0.63
829	9.71	6.68E-05	1.36	1.99E-03	3.09E-02	1.50E+00	-9.50E-01	2.73E-01	0.64
830	9.76	5.22E-05	-2.22	1.08E-03	4.50E-02	1.21E+00	-7.80E-01	2.15E-01	0.64
832	9.81	4.06E-05	-3.2	1.33E-03	2.19E-02	1.00E+00	-6.38E-01	1.81E-01	0.64
834	9.85	5.45E-05	-1.62	1.77E-03	2.92E-02	1.31E+00	-8.23E-01	2.43E-01	0.63
836	9.91	6.08E-05	-1.39	2.27E-03	3.07E-02	1.33E+00	-8.13E-01	2.60E-01	0.61
838	9.96	9.13E-05	1.21	3.94E-03	4.23E-02	1.93E+00	-1.22E+00	3.54E-01	0.63
840	10.04	1.31E-04	2.63	5.09E-03	6.45E-02	2.75E+00	-1.62E+00	5.69E-01	0.59
842	10.1	1.49E-04	1.7	6.03E-03	7.75E-02	3.30E+00	-1.87E+00	7.13E-01	0.57
823	10.16	1.67E-04	0.86	7.59E-03	8.33E-02	3.58E+00	-2.04E+00	7.69E-01	0.57
825	10.21	1.80E-04	1.29	8.09E-03	1.46E-01	3.74E+00	-2.31E+00	7.15E-01	0.62
828	10.27	3.29E-04	3.24	9.97E-03	1.11E-01	5.95E+00	-3.85E+00	1.05E+00	0.65
831	10.32	4.58E-04	5.45	1.63E-02	1.58E-01	6.80E+00	-4.49E+00	1.16E+00	0.66
833	10.36	2.27E-04	1.94	6.38E-03	9.88E-02	4.36E+00	-2.51E+00	9.25E-01	0.58
835	10.41	2.78E-04	4.75	8.94E-03	9.98E-02	4.17E+00	-2.45E+00	8.60E-01	0.59
