500 0.72 2.33E-04
501 0.45 1.12E-04
503 0.43 8.19E-05
524 0.37 7.40E-05
515 0.43 8.94E-05
518 0.44 9.82E-05
521 0.44 1.04E-04
525 0.54 2.08E-04
527 0.56 2.21E-04
528 0.53 1.64E-04
529 0.5 1.45E-04
531 0.56 1.68E-04
532 0.54 1.97E-04
534 0.59 2.02E-04
537 0.55 1.82E-04
540 0.52 1.73E-04
542 0.54 1.73E-04
547 0.64 1.83E-04
547 0.56 1.83E-04
549 0.58 1.89E-04
551 0.53 1.41E-04
804 0.46 1.04E-04
810 0.46 1.01E-04
816 0.44 1.01E-04
826 0.33 8.01E-05
830 0.27 5.22E-05
836 0.36 6.08E-05
838 0.4 9.13E-05
840 0.53 1.31E-04
842 0.57 1.49E-04
823 0.58 1.67E-04
828 0.65 3.29E-04
831 0.73 4.58E-04
833 0.64 2.27E-04
841 0.66 6.08E-04
841 0.68 6.08E-04
845 0.77 1.70E-03
846 0.76 4.55E-03
847 0.79 1.60E-03
849 0.77 6.60E-04
857 0.76 2.43E-03
861 0.78 2.53E-03
850 0.73 1.14E-03
854 0.66 4.85E-04
860 0.54 2.89E-04
865 0.38 1.39E-03
869 0.78 1.76E-03
873 0.78 1.18E-03
877 0.71 7.36E-04
881 0.64 2.64E-04
887 0.43 1.45E-04
868 0.73 9.01E-04
872 0.61 6.56E-04
880 0.53 3.23E-04
882 0.5 2.83E-04
884 0.69 1.13E-03
888 0.83 2.25E-03
890 0.73 1.12E-03
893 0.86 2.51E-03
899 0.84 1.29E-03
905 0.76 1.34E-03
910 0.82 4.34E-03
912 0.59 2.65E-04
913 0.62 5.56E-04
915 0.8 9.60E-04
919 0.66 1.55E-04
921 0.56 9.06E-05
925 0.38 9.39E-05
929 0.45 4.75E-05
935 0.4 7.26E-05
939 0.22 5.28E-05
939 0.34 5.28E-05
942 0.27 2.92E-05
951 0.3 3.55E-05
952 0.32 7.47E-05
956 0.55 1.66E-04
962 0.27 4.07E-05
968 0.71 6.94E-04
959 0.7 9.99E-04
957 0.64 2.11E-04
955 0.65 6.31E-04
963 0.86 7.30E-04
965 0.62 8.19E-04
969 0.66 1.29E-03
971 0.41 4.74E-04
975 0.59 1.16E-03
979 0.6 2.36E-03
983 0.61 3.48E-03
986 0.47 1.77E-03
988 0.53 2.47E-03
974 0.58 1.71E-03
976 0.51 1.48E-03
982 0.38 4.29E-04
990 0.23 6.93E-05
