18.345	14.795
22.662	14.270
26.978	13.251
31.295	12.417
35.612	12.046
39.928	11.707
44.245	11.398
48.561	11.181
52.878	10.965
57.194	10.780
61.511	10.595
65.827	10.378
70.144	10.224
74.460	10.039
78.777	9.822
83.094	9.637
87.410	9.328
91.727	9.081
96.043	8.772
100.360	8.432
104.676	8.093
108.993	7.876
113.309	7.691
117.626	7.568
121.942	7.506
126.259	7.382
130.576	7.320
134.892	7.197
139.209	7.104
143.525	7.012
147.842	6.981
152.158	6.950
156.475	6.826
160.791	6.764
165.108	6.764
169.424	6.641
173.741	6.641
178.058	6.579
182.374	6.548
186.691	6.517
191.007	6.425
195.324	6.425
199.640	6.332
203.957	6.301
208.273	6.301
212.590	6.301
216.906	6.239
221.223	6.239
225.540	6.239
229.856	6.147
234.173	6.147
238.489	6.116
242.806	6.085
247.122	6.054
251.439	6.054
255.755	6.054
260.072	6.023
264.388	5.961
268.705	5.931
273.022	5.961
277.338	5.961
281.655	5.900
285.971	5.838
290.288	5.838
294.604	5.807
298.921	5.776
