6.271	0.465
6.176	0.465
6.259	0.459
6.289	0.453
6.063	0.453
6.105	0.453
6.147	0.453
6.183	0.447
6.177	0.441
6.117	0.434
6.082	0.434
6.070	0.427
5.992	0.440
5.993	0.434
5.951	0.434
5.909	0.434
6.165	0.421
6.237	0.415
6.035	0.415
5.969	0.415
5.862	0.415
5.761	0.415
5.642	0.415
5.583	0.415
5.541	0.415
5.636	0.409
5.839	0.409
5.952	0.409
6.017	0.409
6.094	0.409
6.011	0.402
5.863	0.402
5.797	0.396
5.738	0.403
5.696	0.402
5.607	0.403
5.547	0.403
5.464	0.403
5.410	0.409
5.369	0.409
5.268	0.403
5.167	0.403
5.369	0.395
5.405	0.395
5.452	0.396
5.512	0.396
5.542	0.396
5.583	0.396
5.660	0.397
5.780	0.389
5.696	0.389
5.631	0.389
5.583	0.389
5.548	0.389
5.470	0.389
5.423	0.389
5.381	0.389
5.310	0.389
5.268	0.389
5.352	0.383
5.405	0.384
5.459	0.383
5.500	0.385
5.595	0.383
5.530	0.376
5.447	0.378
5.393	0.376
5.358	0.377
5.298	0.377
5.275	0.371
5.322	0.371
5.405	0.371
5.459	0.371
5.495	0.371
5.453	0.365
5.334	0.365
5.287	0.365
5.227	0.365
5.150	0.358
5.293	0.358
5.340	0.358
5.424	0.358
5.483	0.358
5.507	0.352
5.346	0.352
5.257	0.352
5.228	0.345
5.317	0.346
5.072	0.384
4.573	0.358
4.835	0.346
4.847	0.339
4.901	0.339
4.966	0.339
4.835	0.333
4.848	0.327
4.883	0.328
4.931	0.325
4.972	0.328
4.901	0.320
4.830	0.321
4.776	0.320
4.586	0.315
4.687	0.314
4.812	0.314
4.895	0.314
4.991	0.315
4.919	0.308
4.836	0.308
4.717	0.307
4.604	0.308
4.628	0.301
4.682	0.299
4.723	0.302
4.824	0.301
4.866	0.302
4.783	0.295
4.676	0.295
4.730	0.288
4.492	0.295
4.527	0.289
4.569	0.283
4.444	0.289
4.295	0.289
4.373	0.284
4.438	0.283
4.379	0.276
4.433	0.277
4.492	0.276
4.575	0.276
4.617	0.270
4.433	0.270
4.338	0.270
4.255	0.264
4.296	0.264
4.362	0.264
4.403	0.263
4.439	0.263
4.528	0.264
4.433	0.257
4.326	0.257
4.273	0.257
4.213	0.251
4.332	0.251
4.831	0.270
3.957	0.263
3.999	0.264
4.100	0.264
4.749	0.219
4.720	0.195
4.023	0.245
3.970	0.245
3.928	0.245
3.880	0.239
3.994	0.239
4.059	0.239
4.053	0.233
4.006	0.233
3.958	0.233
3.928	0.233
3.869	0.233
3.720	0.233
3.768	0.227
3.482	0.227
3.619	0.227
3.518	0.220
3.691	0.220
3.756	0.220
3.845	0.220
3.935	0.220
3.988	0.212
3.851	0.213
3.548	0.206
3.608	0.207
3.667	0.206
3.721	0.207
3.709	0.201
3.667	0.201
3.620	0.203
3.578	0.202
3.489	0.196
3.531	0.195
3.620	0.195
3.632	0.189
3.887	0.202
3.858	0.195
3.686	0.182
3.537	0.183
3.519	0.176
3.591	0.176
3.632	0.176
3.579	0.169
3.526	0.169
5.127	0.333
